token;name;extensive_name;comments
BeHH;Wingolf BeHH;Wingolf an der Handelshochschule Berlin;Vertagt, Gegründet:	6. Februar 1924, Wahlspruch:	Wahr, Gläubig, Treu!
BrII;Breslauer Wingolf II;Wingolf an der Technischen Hochschule Breslau;Vertagt, Gegründet:	11. Oktober 1919, Wahlspruch:	Gott, Ehre, Freiheit, Vaterland!
Ch;Charlottenburger Wingolf;Charlottenburger Wingolf;Vertagt, Gegründet:	18. Juni 1894, Wahlspruch:	Frei, Fromm, Treu!
Dz;Danziger Wingolf;Danziger Wingolf;Vertagt, Gegründet: 16. Mai 1923, Vertagt: 4. Juni 1934, Wahlspruch:	Gläubig und Deutsch und Frei!, Tradition: Arminia Dorpatensis (Dp)
Hs;Hohenheimer Wingolf;Hohenheimer Wingolf;Vertagt, Gegründet:	18. Januar 1922, Vertagt:	21. Dezember 1929, Wahlspruch:	Fromm, Furchtlos, Treu! 
MchII;Münchener Wingolf II;Münchener Wingolf an der Technischen Hochschule;Vertagt, Gegründet:	15. Mai 1901, Wahlspruch:	Di Henos Panta!
N;Nürnberger Wingolf;Nürnberger Wingolf; Vertagt, Gegründet:	25. Juli 1925, Vertagt:	12. Juli 1934, Wahlspruch:	Gott, Ehre, Freiheit!
TNib;Nibelungen zu Tübingen;Wingolf Nibelungen zu Tübingen;Vertagt, Gegründet:	24. Oktober 1928, Vertagt:	15. Februar 1936, Wahlspruch:	Di Henos Panta!
S!;Schwizerhüsli Basilensis;Schwizerhüsli Basilensis, Basel;Verbindung im Falkensteiner Bund, http://schwizerhuesli.ch
Z!;Zähringia Bernensis;Zähringia Bernensis, Bern;Verbindung im Falkensteiner Bund, http://www.zähringia-bernensis.ch
C!;Carolingia Turicensis;Carolingia Turicensis, Zürich;Verbindung im Falkensteiner Bund, http://www.carolingia.ch
V!;Valdésia Lausannensis;Valdésia Lausannensis Lausanne;Verbindung im Falkensteiner Bund, http://www.valdesia.ch
