workflow_name;workflow_belongs_to_group_names;remove_from_group_names;add_to_group_name;description
Aktivmeldung;           Keilgäste;                                    Gäste;                            Hospitanten;                 Nimmt einen Keilgast als Hospitant in die Verbindung auf.
Reception;              Hospitanten;                                  Hospitanten;                      Kraßfuxen;                   Rezipiert einen Hospitanten, sodass er Kraßfux wird.
Branderung;             Kraßfuxen;                                    Kraßfuxen;                        Brandfuxen;                  Brandert einen Kraßfuxen, sodass er Brandfux wird.
Burschung;              Brandfuxen;                                   Brandfuxen;                       Aktive Burschen;             Burscht einen Brandfuxen, sodass er aktiver Bursch wird. 
Inaktivierung loci;     Aktive Burschen, Inaktive Burschen non loci;  Burschen;                         Inaktive Burschen loci;	     Inaktiviert einen Burschen zum Inaktiven am Ort.
Inaktivierung non loci; Aktive Burschen, Inaktive Burschen loci;      Burschen;                         Inaktive Burschen non loci;  Inaktiviert einen Burschen zum auswärtigen Inaktiven.
Reaktivierung;          Inaktive Burschen;                            Inaktive Burschen;                Aktive Burschen;             Reaktiviert einen inaktiven Burschen zum aktiven Burschen.
Konkneipierung;         Hospitanten;                                  Hospitanten;                      Konkneipanten;               Macht einen Hospitanten zum Konkneipanten.
Philistration;          Burschen, Konkneipanten;                      Aktivitas;                        Philister;                   Philistriert einen Burschen oder Konkneipanten zum ordentlichen Philister.
Streichung;             Aktivitas, Philisterschaft;                   Aktivitas, Philisterschaft;       Gestrichene;                 Streicht eine Person von der Mitgliederliste, z.B. wenn unerreichbar oder zahlungsunwillig.
Schlichter Austritt;    Aktivitas, Philisterschaft;                   Aktivitas, Philisterschaft;       Schlicht Ausgetretene;       Regulärer Austritt, wenn eine Person ihren Austritt selbst erklärt hat.
Ehrenhafter Austritt;   Aktivitas, Philisterschaft;                   Aktivitas, Philisterschaft;       Ehrenhaft Ausgetretene;      Austritt, wenn der Convent einen ehrenhaften Austritt gewährt hat.
Dimissio i.p.;          Aktivitas;                                    Aktivitas, Philisterschaft;       Rausgeworfene (Dimissio);    Rauswurf per Dimissio in perpetuum.
Exclusio;               Aktivitas;                                    Aktivitas, Philisterschaft;       Rausgeworfene (Exclusio);    Rauswurf per Exclisop. Dies ist nach §62 der Bundessatzung nur durch übereinstimmenden Beschluss aller Wingolfsverbindungen der Person möglich.
